cos_dist_0,cos_dist_1,cos_dist_2,cos_dist_3,cos_dist_4,cos_dist_5,cos_dist_6,cos_dist_7,cos_dist_8,cos_dist_9,cos_dist_10,True Index,Pred Index
0.8690663576126099,0.7240189909934998,0.7555965185165405,0.8067724108695984,0.6006619334220886,0.6119005084037781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65455162525177,0.6113818287849426,0.636397659778595,0.756420373916626,0.6015664935112,0.6349971294403076,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.5827310085296631,0.6111219525337219,0.5335594415664673,0.7139058113098145,0.40316241979599,0.8037589192390442,0.0,0.0,0.0,0.0,0.0,5.0,5.0
0.5827310085296631,0.6111219525337219,0.5335594415664673,0.7139058113098145,0.40316241979599,0.8037589192390442,0.0,0.0,0.0,0.0,0.0,5.0,5.0
0.7135231494903564,0.6308220028877258,0.7465621829032898,0.6323069930076599,0.5771095752716064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.4781893491744995,0.6737169623374939,0.6612038612365723,0.6201803088188171,0.6031407713890076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5489798784255981,0.6937436461448669,0.6125357747077942,0.7341440320014954,0.7185619473457336,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
0.5663788318634033,0.6738863587379456,0.7845795750617981,0.6355793476104736,0.6321580410003662,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0.6928457021713257,0.5864274501800537,0.663015604019165,0.6231521368026733,0.6224694848060608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7204378247261047,0.7681763768196106,0.7455470561981201,0.6951716542243958,0.7454639077186584,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0.6571313738822937,0.7266348600387573,0.7946285009384155,0.6073240041732788,0.7380442023277283,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0.5625956058502197,0.4503081142902374,0.6207739114761353,0.7682101130485535,0.7065517902374268,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.8649322986602783,0.6333670616149902,0.6528570055961609,0.7262158393859863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6576917171478271,0.5316748023033142,0.7947717308998108,0.781646192073822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0.6934428215026855,0.6927086114883423,0.7217093706130981,0.7733511328697205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
0.785133421421051,0.6364912986755371,0.6641921997070312,0.6768292188644409,0.6761139631271362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6273954510688782,0.636668860912323,0.6651991605758667,0.7086225748062134,0.6372116804122925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
0.7410570979118347,0.6728187203407288,0.7756896615028381,0.7154355645179749,0.6815641522407532,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0.6838133931159973,0.6932314038276672,0.6968425512313843,0.7849487066268921,0.7340101599693298,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.6832320094108582,0.7142147421836853,0.6768019199371338,0.8381531834602356,0.7332086563110352,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
0.505985677242279,0.543534517288208,0.5814344882965088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.6119873523712158,0.528608500957489,0.7500128149986267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.5901289582252502,0.6181527972221375,0.6742697358131409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
0.7762202024459839,0.7234309315681458,0.5928134322166443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.8352845311164856,0.7392003536224365,0.4382462501525879,0.6988556981086731,0.5925390124320984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7128860354423523,0.8156599402427673,0.8052249550819397,0.8084868788719177,0.8185252547264099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
